ID,Age,Rotten Tomatoes,Netflix,Disney+
642,3,68,1,0
643,2,68,1,0
644,0,68,1,0
645,5,67,1,0
646,5,67,1,0
647,5,67,1,0
648,5,67,1,0
649,0,67,1,0
650,5,67,1,0
651,5,67,1,0
652,5,67,1,0
653,2,67,1,0
654,5,67,1,0
655,0,67,1,0
656,0,67,1,0
657,5,67,1,0
658,5,67,1,0
659,5,67,1,0
660,3,67,1,0
661,5,67,1,0
662,5,67,1,0
663,5,67,1,0
664,3,67,1,0
665,3,67,1,0
666,3,67,1,0
667,0,67,1,0
668,3,67,1,0
669,5,67,1,0
670,5,67,1,0
671,5,67,1,0
672,5,67,1,0
673,3,67,1,0
674,0,67,1,0
675,3,67,1,0
676,2,67,1,0
677,5,67,1,0
678,3,67,1,0
679,1,67,1,0
680,5,67,1,0
681,3,67,1,0
682,3,67,1,0
683,2,67,1,0
684,5,67,1,0
685,5,67,1,0
686,3,67,1,0
687,3,67,1,0
688,3,67,1,0
689,3,67,1,0
690,5,67,1,0
691,2,67,1,0
692,0,67,1,0
693,2,67,1,0
694,0,67,1,0
695,5,67,1,0
696,0,67,1,0
697,5,67,1,0
698,3,67,1,0
699,4,67,1,0
700,2,67,1,0
701,0,67,1,0
702,3,67,1,0
703,5,67,1,0
704,5,67,1,0
705,5,67,1,0
706,5,67,1,0
707,5,67,1,0
708,0,67,1,0
709,5,67,1,0
710,5,67,1,0
711,5,67,1,0
712,2,67,1,0
713,2,67,1,1
714,5,67,1,0
715,3,66,1,0
716,0,66,1,0
717,4,66,1,0
718,1,66,1,0
719,5,66,1,0
720,0,66,1,0
721,3,66,1,0
722,0,66,1,0
723,5,66,1,0
724,3,66,1,0
725,5,66,1,0
726,5,66,1,0
727,5,66,1,0
728,5,66,1,0
729,5,66,1,0
730,5,66,1,0
731,5,66,1,0
732,0,66,1,0
733,0,66,1,0
734,2,66,1,0
735,5,66,1,0
736,4,66,1,0
737,0,66,1,0
738,5,66,1,0
739,5,66,1,0
740,5,66,1,0
741,2,66,1,0
742,5,66,1,0
743,5,66,1,0
744,3,66,1,0
745,3,66,1,0
746,5,66,1,0
747,5,66,1,0
748,5,66,1,0
749,5,66,1,0
750,3,66,1,0
751,3,66,1,0
752,5,66,1,0
753,5,66,1,0
754,2,66,1,0
755,3,66,1,0
756,5,66,1,0
757,5,66,1,0
758,2,66,1,0
759,3,66,1,0
760,5,66,1,0
761,5,66,1,0
762,5,66,1,0
763,0,66,1,0
764,3,66,1,0
765,0,66,1,0
766,5,66,1,0
767,0,66,1,0
768,5,66,1,0
769,5,66,1,0
770,3,65,1,0
771,3,65,1,0
772,1,65,1,0
773,3,65,1,0
774,4,65,1,0
775,2,65,1,0
776,5,65,1,0
777,0,65,1,0
778,5,65,1,0
779,5,65,1,0
780,0,65,1,0
781,5,65,1,0
782,4,65,1,0
783,0,65,1,0
784,4,65,1,0
785,0,65,1,0
786,5,65,1,0
787,0,65,1,0
788,3,65,1,0
789,3,65,1,0
790,3,65,1,0
791,5,65,1,0
792,2,65,1,0
793,0,65,1,0
794,0,65,1,0
795,0,65,1,0
796,0,65,1,0
797,5,65,1,0
798,5,65,1,0
799,0,65,1,0
800,3,65,1,0
801,5,65,1,0
802,2,65,1,0
803,0,65,1,0
804,0,65,1,0
805,0,65,1,0
806,5,65,1,0
807,5,65,1,0
808,0,65,1,0
809,5,65,1,0
810,5,65,1,0
811,0,65,1,0
812,2,65,1,0
813,5,65,1,0
814,5,65,1,0
815,5,65,1,0
816,2,65,1,0
817,4,65,1,0
818,4,65,1,0
819,5,65,1,0
820,2,65,1,0
821,5,65,1,0
822,3,65,1,0
823,0,65,1,0
824,5,65,1,0
825,3,65,1,0
826,3,65,1,0
827,0,65,1,0
828,5,65,1,0
829,0,65,1,0
830,2,65,1,0
831,0,65,1,0
832,5,64,1,0
833,0,64,1,0
834,4,64,1,0
835,3,64,1,0
836,5,64,1,0
837,2,64,1,0
838,0,64,1,0
839,5,64,1,0
840,3,64,1,0
841,0,64,1,0
842,1,64,1,0
843,5,64,1,0
844,2,64,1,0
845,5,64,1,0
846,0,64,1,0
847,5,64,1,0
848,5,64,1,0
849,3,64,1,0
850,5,64,1,0
851,3,64,1,0
852,0,64,1,0
853,3,64,1,0
854,2,64,1,0
855,3,64,1,0
856,5,64,1,0
857,5,64,1,0
858,5,64,1,0
859,0,64,1,0
860,5,64,1,0
861,3,64,1,0
862,0,64,1,0
863,3,64,1,0
864,0,64,1,0
865,4,64,1,0
866,5,64,1,0
867,5,64,1,0
868,4,64,1,0
869,0,64,1,0
870,2,64,1,0
871,1,64,1,0
872,0,64,1,0
873,0,64,1,0
874,3,64,1,0
875,3,64,1,0
876,5,64,1,0
877,0,64,1,0
878,0,64,1,0
